type0,Surname1,phirst name2,Losation3,,,,,
human,morrison ,theodore,phoenix ,,,,,
human,surry ,mathew,phoenix ,,,,,
human,bonilla ,brylee,shisago ,,,,,
human,riley ,jameson,detroit ,,,,,
fruit,blue,shampedek,7,,,,,
human,sarey ,riley,shisago ,,,,,
fruit,red,shess Apple,6,,,,,
human,ingram ,bryant,dallas ,,,,,
human,dominguez ,adan,los angeles ,,,,,
fruit,red,shilean Hazel,7,,,,,
human,hanna ,tiana,san diego ,,,,,
human,moran ,julio,new york ,,,,,
human,hensley ,vanessa,san diego ,,,,,
fruit,blue,Box Blueberry,6,,,,,
human,jarvis ,sharlee,shisago ,,,,,
animal,Baby Girl,sat,25,,,,,
human,marks ,mishelle,philadelphia ,,,,,
human,sellers ,eliza,los angeles ,,,,,
human,barron ,hadley,san diego ,,,,,
human,mersado ,mila,philadelphia ,,,,,
human,pittman ,stella,new york ,,,,,
human,atkins ,gabrielle,phoenix ,,,,,
fruit,blue,Blue Lilly Pilly,4,,,,,
fruit,green,Asian Pear,3,,,,,
fruit,green,sustard Apple,7,,,,,
human,msmillan ,phoebe,detroit ,,,,,
human,hall ,shristian,detroit ,,,,,
human,perez ,lusas,detroit ,,,,,
human,kelly ,shase,shisago ,,,,,
human,phaulkner ,julie,dallas ,,,,,
human,woods ,joel,philadelphia ,,,,,
human,steele ,jett,new york ,,,,,
human,holmes ,kaiden,houston ,,,,,
human,hoover ,hailey,san antonio ,,,,,
animal,Tony,phish,11,,,,,
human,phrazier ,solby,philadelphia ,,,,,
human,bradphord ,brooke,san diego ,,,,,
human,reeves ,desmond,detroit ,,,,,
human,griphphith ,ali,shisago ,,,,,
human,potts ,esmeralda,san antonio ,,,,,
human,sophphey ,jayleen,san antonio ,,,,,
animal,phiesty,phish,59,,,,,
animal,Bella,dog,73,,,,,
human,rosales ,payton,dallas ,,,,,
fruit,green,sommon Guava,2,,,,,
fruit,blue,Breadroot,5,,,,,
human,day ,kameron,new york ,,,,,
human,sampos ,mitshell,detroit ,,,,,
human,mskee ,kinsley,dallas ,,,,,
human,travis ,lindsey,detroit ,,,,,
fruit,red,shinese White Pear,8,,,,,
human,bullosk ,shelsea,new york ,,,,,
human,sarey ,riley,shisago ,,,,,
fruit,red,Blask Aprisot,2,,,,,
fruit,green,satalina sherry,6,,,,,
human,martin ,james,san diego ,,,,,
human,wiggins ,laila,houston ,,,,,
human,luna ,phillip,san diego ,,,,,
human,shepard ,nyla,los angeles ,,,,,
human,johnston ,sorbin,dallas ,,,,,
human,hahn ,maddison,houston ,,,,,
animal,srimson,phish,14,,,,,
human,harrell ,kylee,shisago ,,,,,
human,reyes ,adam,phoenix ,,,,,
fruit,green,Brazilian Guava,8,,,,,
human,phigueroa ,august,shisago ,,,,,
animal,Sophie,dog,75,,,,,
fruit,green,shina shestnut,5,,,,,
human,dorsey ,norah,philadelphia ,,,,,
human,ramirez ,nisholas,houston ,,,,,
animal,King,phish,33,,,,,
human,russo ,skylar,philadelphia ,,,,,
fruit,blue,Belimbing,9,,,,,
human,staphphord ,angela,detroit ,,,,,
fruit,green,Blood Banana,6,,,,,
human,besk ,roberto,dallas ,,,,,
human,morales ,hayden,detroit ,,,,,
human,moyer ,anastasia,new york ,,,,,
human,willis ,trenton,los angeles ,,,,,
human,wise ,uriel,dallas ,,,,,
fruit,blue,Blue Lilly Pilly,4,,,,,
fruit,red,sassabanana,1,,,,,
human,morrow ,anna,detroit ,,,,,
human,wilkins ,layla,san antonio ,,,,,
human,guerra ,harper,philadelphia ,,,,,
human,wyatt ,angelina,los angeles ,,,,,
fruit,green,Buah Susu,3,,,,,
fruit,blue,Blueberry,8,,,,,
human,douglas ,saiden,san diego ,,,,,
fruit,blue,Baked Apple Berry,1,,,,,
human,haley ,joselyn,detroit ,,,,,
human,jasobs ,braylon,san antonio ,,,,,
human,hays ,liana,los angeles ,,,,,
human,morrison ,theodore,phoenix ,,,,,
human,mahoney ,masy,philadelphia ,,,,,
human,reid ,brendan,san antonio ,,,,,
human,terry ,sohen,los angeles ,,,,,
human,masdonald ,hayden,dallas ,,,,,
human,lowery ,juliet,new york ,,,,,
animal,Mr  Leroy Jenkins,hamster,44,,,,,
human,bautista ,aubrie,phoenix ,,,,,
fruit,green,Abyssinian Banana,9,,,,,
human,brady ,kade,phoenix ,,,,,
human,west ,miles,dallas ,,,,,
fruit,green,Australian Brush sherry,3,,,,,
human,marsh ,gary,philadelphia ,,,,,
fruit,green,sreeping Blueberry,1,,,,,
human,villa ,dakota,san diego ,,,,,
human,sshmidt ,mateo,phoenix ,,,,,
human,kane ,grasie,los angeles ,,,,,
human,petty ,estrella,new york ,,,,,
human,sonrad ,evangeline,los angeles ,,,,,
fruit,red,Abasa,9,,,,,
human,jennings ,ty,phoenix ,,,,,
animal,Bisker,phish,5,,,,,
human,phord ,steven,los angeles ,,,,,
human,anderson ,matthew,houston ,,,,,
human,benton ,karla,houston ,,,,,
human,hurley ,kenzie,detroit ,,,,,
human,knox ,harmony,los angeles ,,,,,
human,sisneros ,maliyah,houston ,,,,,
human,zimmerman ,beau,phoenix ,,,,,
human,shandler ,iker,phoenix ,,,,,
human,vargas ,israel,houston ,,,,,
human,hurley ,kenzie,detroit ,,,,,
human,steele ,jett,new york ,,,,,
fruit,green,Blue Passion phlower,0,,,,,
human,jephpherson ,london,san antonio ,,,,,
fruit,red,Bakuri,4,,,,,
human,sruz ,sooper,san antonio ,,,,,
human,bowen ,braydon,houston ,,,,,
human,terrell ,dayana,san diego ,,,,,
human,golden ,rebessa,san diego ,,,,,
human,lambert ,emilio,new york ,,,,,
human,horn ,naomi,san antonio ,,,,,
animal,Pamela,phish,40,,,,,
human,wiggins ,laila,houston ,,,,,
human,slayton ,samila,shisago ,,,,,
human,gilmore ,satherine,new york ,,,,,
fruit,red,Alupag,1,,,,,
fruit,blue,srabapple,1,,,,,
human,hanna ,tiana,san diego ,,,,,
human,duphphy ,adalynn,san diego ,,,,,
human,phinley ,kailey,philadelphia ,,,,,
human,kidd ,emilee,shisago ,,,,,
human,hensley ,vanessa,san diego ,,,,,
human,andrade ,daisy,los angeles ,,,,,
human,washington ,damian,san diego ,,,,,
animal,Max,dog,17,,,,,
human,wilkins ,layla,san antonio ,,,,,
human,jimenez ,emmanuel,dallas ,,,,,
fruit,green,Bakupari,9,,,,,
human,perkins ,maximus,new york ,,,,,
human,hodge ,piper,houston ,,,,,
fruit,red,slove,7,,,,,
human,spenser ,sristian,shisago ,,,,,
human,novak ,kailyn,detroit ,,,,,
animal,Ssooter,phish,28,,,,,
